target,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,directional_accuracy_mean,directional_accuracy_std,hit_rate_mean,hit_rate_std,pearson_mean,pearson_std,spearman_mean,spearman_std,n_folds,n_samples,model
y_XLY,0.0107886970007926,0.0034562983679233,0.0142308716102894,0.0053711542277539,-0.1398859756255945,0.116461125768847,0.457805091846674,0.080331531948325,0.457805091846674,0.080331531948325,0.0064185831423843,0.171189583882606,0.026316427984227,0.1978255794516137,25,823,knn
y_BTC-USD,0.0322570946456777,0.0066393466816976,0.0471887112313881,0.0146627292744578,-3.987227820143915,3.7985152821178407,0.4673333333333333,0.0495490778028321,0.4673333333333333,0.0495490778028321,-0.0700374606396754,0.1172661234874346,-0.0848435676576827,0.0979982180400121,25,1500,ridge
y_GLD,0.0189088486159646,0.0053503355369773,0.0256333909275882,0.0076427829618145,-6.930298828029295,6.523408428556269,0.4495346548176162,0.0840820015715123,0.4495346548176162,0.0840820015715123,-0.0474109197263478,0.1975577155655437,-0.0674309045825987,0.2095748854064971,25,823,ridge
y_TLT,0.0215356397988962,0.0079299654229983,0.0327168564415851,0.0144103876435837,-21.52171935838392,14.441282006836415,0.4700585826402256,0.0954198564794924,0.4700585826402256,0.0954198564794924,-0.0691953104015534,0.117131160081698,-0.0910969113357818,0.133769514837828,25,823,ridge
y_UUP,0.0097337445152883,0.0039270263255482,0.0137925460001989,0.0064642911286604,-12.023891512303925,10.126001842745032,0.4499136453832195,0.0775978488236027,0.4499136453832195,0.0775978488236027,-0.0842147629568526,0.203643892346579,-0.10024115031348,0.2173121611256387,25,823,ridge
y_XLB,0.0270174859037295,0.0088895222175959,0.0388488100259048,0.0157537100303012,-18.753821087308843,21.363918772080677,0.451701231169791,0.1119351829680792,0.451701231169791,0.1119351829680792,-0.0823702757804281,0.2055981814450308,-0.1163782331425933,0.230046460278357,25,823,ridge
y_XLC,0.0278122492619836,0.0096231434702456,0.0416915922252662,0.0175875382635422,-24.01619297513732,20.67314003168015,0.4808690301560483,0.1077881333917521,0.4808690301560483,0.1077881333917521,-0.042331581448587,0.1517439244264219,-0.0786306196994067,0.1980162230757091,25,823,ridge
y_XLE,0.0308203276631946,0.0101687248341251,0.0410893134166333,0.0135408120629646,-8.763686467457752,4.982698977988488,0.5109376985781651,0.1043812007656169,0.5109376985781651,0.1043812007656169,0.0370770436012449,0.1690300834065841,0.0423314345376834,0.1701652877342126,25,823,ridge
y_XLF,0.0251856566259546,0.0076590823459155,0.0353964751095192,0.0113972113669667,-11.769828817148356,8.091093512745609,0.4572674691036759,0.0934528942806597,0.4572674691036759,0.0934528942806597,-0.0767821322415512,0.1036933554275454,-0.1017208543415302,0.1503509286636163,25,823,ridge
y_XLI,0.0229821103442856,0.0082911325017475,0.0324230395956207,0.0131889487594759,-12.06790063700828,10.931540118352448,0.4510578412571313,0.0673692033004165,0.4510578412571313,0.0673692033004165,-0.0331361990576134,0.1655113063803642,-0.0757197016163635,0.163608480505192,25,823,ridge
y_XLK,0.0334302515835073,0.0120501012634626,0.0485376859102177,0.0192339565253146,-12.728141921784047,9.709676513308766,0.495132721345196,0.0846278296907936,0.495132721345196,0.0846278296907936,-0.0399865662913739,0.1634840296293702,-0.059358595079909,0.1871322315039816,25,823,ridge
y_XLP,0.0190459672566296,0.0054076817816748,0.0277037379431664,0.0098669997193713,-16.758721116258258,16.168489273602876,0.4641931860009953,0.1178605647136392,0.4641931860009953,0.1178605647136392,-0.0791463402908562,0.1735492226231965,-0.096435211236713,0.1821917057951368,25,823,ridge
y_XLRE,0.0271797265091494,0.0097699327204222,0.0406004331281908,0.0149003624827815,-20.27806939555053,15.262155340710413,0.4534006794721804,0.0872568600828345,0.4534006794721804,0.0872568600828345,-0.0781042852141977,0.0915214250404388,-0.1263144668079377,0.1357326478093642,25,823,ridge
y_XLU,0.0229192698834473,0.0070944271134718,0.0342390483471221,0.012944138194671,-14.754279522931816,14.28175242753673,0.4606843954278031,0.0786885523936005,0.4606843954278031,0.0786885523936005,-0.0388384910714711,0.1449014462520418,-0.0756922325361251,0.1764495061303247,25,823,ridge
y_XLV,0.0203138390723664,0.0068950093560692,0.0300956139157199,0.0129463071203225,-13.23749826527516,13.025050080946242,0.4765657569070348,0.080239947003572,0.4765657569070348,0.080239947003572,-0.005987079731223,0.1825352892737071,-0.033845923346123,0.1847969418801144,25,823,ridge
y_XLY,0.0338312067526445,0.009263374499243,0.0488908931807354,0.014972330017371,-15.5900146223616,10.40577995001096,0.4642067054739467,0.0741269054326068,0.4642067054739467,0.0741269054326068,-0.0662125665322115,0.1110859514049521,-0.0610628492339096,0.1481769788382038,25,823,ridge
y_BTC-USD,0.0178764334952905,0.0032474393147071,0.0240361779433488,0.0050918391817902,-0.0995507047015851,0.112149880907581,0.4826666666666666,0.0679018900080599,0.4826666666666666,0.0679018900080599,0.0427329638538068,0.1009184740640869,-0.0029786051681022,0.1205930310246753,25,1500,rf
