model,target,strategy,threshold,cost_bps,n_obs,active_rate,hit_rate,cum_return,mean_ret,std_ret,sharpe
ridge,y_UUP,long_short,0.0005,1.0,823,0.9258809234507898,0.4216281895504252,-0.2394075479402306,-0.0003226910264237,0.0044186449443451,-1.159305918872757
ridge,y_UUP,long_flat,0.001,1.0,823,0.3778857837181045,0.2065613608748481,-0.075479036778174,-9.128441403624277e-05,0.002849131659601,-0.5086094016798929
ridge,y_UUP,long_short,0.001,1.0,823,0.8626974483596598,0.3961117861482381,-0.2101655883677293,-0.0002774085685643,0.0042940580914225,-1.0255391077904543
ridge,y_UUP,long_flat,0.002,1.0,823,0.3365735115431348,0.1822600243013366,-0.1100032924298609,-0.000137840532299,0.0027347922743046,-0.8001158387230638
ridge,y_UUP,long_short,0.002,1.0,823,0.7569866342648846,0.3547995139732685,-0.2326245040425563,-0.0003136246013629,0.0040103667970332,-1.241441607065041
ridge,y_UUP,long_flat,0.003,1.0,823,0.2964763061968408,0.1640340218712029,-0.1079239797688003,-0.0001354708372445,0.0025589138956629,-0.8404084542074421
ridge,y_UUP,long_short,0.003,1.0,823,0.6585662211421628,0.3183475091130012,-0.1964942411270651,-0.0002588765398844,0.0037159154237033,-1.105928741705246
ridge,y_UUP,long_flat,0.005,1.0,823,0.2357229647630619,0.1300121506682867,-0.1447172858064968,-0.0001874311060937,0.0022278837502549,-1.3355169755827931
ridge,y_UUP,long_short,0.005,1.0,823,0.5151883353584447,0.2515188335358445,-0.1937631143875533,-0.0002562821974697,0.003279133134547,-1.2406796530725612
ridge,y_XLB,long_flat,0.0,1.0,823,0.5127582017010935,0.2308626974483596,-0.474245252292144,-0.0007531019190312,0.0074343150948112,-1.6081000314604117
ridge,y_XLB,long_short,0.0,1.0,823,1.0,0.4483596597812879,-0.7375748910905779,-0.0015487811454966,0.0122224994973278,-2.0115475139004366
ridge,y_XLB,long_flat,0.0005,1.0,823,0.5006075334143378,0.2247873633049817,-0.4769174348174182,-0.0007595864762587,0.0073939635852149,-1.6307980629878094
ridge,y_XLB,long_short,0.0005,1.0,823,0.9720534629404616,0.433778857837181,-0.7367416949706953,-0.0015461655763532,0.012121207384226,-2.0249317437220813
ridge,y_XLB,long_flat,0.001,1.0,823,0.4945321992709599,0.2199270959902794,-0.4921046590246049,-0.0007957391634663,0.0073418153612907,-1.720550979345122
ridge,y_XLB,long_short,0.001,1.0,823,0.9562575941676792,0.4240583232077764,-0.7425877480206967,-0.0015742745577305,0.0120492875401543,-2.0740507492468017
ridge,y_XLB,long_flat,0.002,1.0,823,0.4702308626974483,0.2041312272174969,-0.5035994927307157,-0.0008252718858172,0.0071009223946385,-1.8449413069499228
ridge,y_XLB,long_short,0.002,1.0,823,0.9161603888213852,0.402187120291616,-0.7382335912616129,-0.0015567599935419,0.0118124481320022,-2.0920979704967246
ridge,y_XLB,long_flat,0.003,1.0,823,0.4532199270959903,0.1919805589307412,-0.5224212410495914,-0.0008733744102846,0.0069334752178244,-1.999630561990394
ridge,y_XLB,long_short,0.003,1.0,823,0.8882138517618469,0.3876063183475091,-0.7276673424594382,-0.0015110538940417,0.0116169684292771,-2.0648448064168194
ridge,y_XLB,long_flat,0.005,1.0,823,0.3948967193195625,0.1701093560145808,-0.5312060825628777,-0.0008976684546711,0.0066749305857317,-2.1348603947351616
ridge,y_XLB,long_short,0.005,1.0,823,0.8007290400972054,0.353584447144593,-0.6877705483398147,-0.0013532764957597,0.0109247843961624,-1.966409367756636
ridge,y_XLC,long_flat,0.0,1.0,823,0.5078979343863913,0.2721749696233292,-0.0648105762756279,-4.042846198993573e-05,0.0090999456733188,-0.0705259087168942
ridge,y_XLC,long_short,0.0,1.0,823,1.0,0.4811664641555285,-0.4467541863500812,-0.0006552308758467,0.0113361138523276,-0.9175514491497206
ridge,y_XLC,long_flat,0.0005,1.0,823,0.5042527339003645,0.2709599027946537,-0.0619605295468409,-3.674453611927801e-05,0.0090984844996006,-0.0641097347253646
ridge,y_XLC,long_short,0.0005,1.0,823,0.982989064398542,0.4750911300121506,-0.4419695510743971,-0.0006451457908501,0.0113033253565132,-0.9060494685235452
ridge,y_XLC,long_flat,0.001,1.0,823,0.4921020656136087,0.2600243013365735,-0.1098974820990638,-0.0001009618226488,0.0090443240357021,-0.177207190003051
ridge,y_XLC,long_short,0.001,1.0,823,0.9611178614823817,0.4592952612393681,-0.4684071595454597,-0.0007048282197852,0.0112363346720287,-0.9957696567445414
ridge,y_XLC,long_flat,0.002,1.0,823,0.4520048602673147,0.2381530984204131,-0.1721741825233383,-0.0001907388103675,0.0088577499675445,-0.3418345241961807
ridge,y_XLC,long_short,0.002,1.0,823,0.9064398541919806,0.4325637910085054,-0.5056304886412752,-0.0007954248380747,0.0110134522551699,-1.1465049792365976
ridge,y_XLC,long_flat,0.003,1.0,823,0.4277035236938031,0.2272174969623329,-0.156482361319112,-0.0001684122052139,0.0088027769595877,-0.3037065336015958
ridge,y_XLC,long_short,0.003,1.0,823,0.8529769137302552,0.4143377885783718,-0.4533772041591891,-0.0006752639213937,0.0108461227221728,-0.9883239113769662
ridge,y_XLC,long_flat,0.005,1.0,823,0.3961117861482381,0.2089914945321992,-0.1700477365371054,-0.0001893841345342,0.0086569936551083,-0.3472775946483973
ridge,y_XLC,long_short,0.005,1.0,823,0.7703523693803159,0.3778857837181045,-0.3592164491608056,-0.0004861951850413,0.0104801418703345,-0.736450840554571
ridge,y_XLE,long_flat,0.0,1.0,823,0.5577156743620899,0.3292831105710814,0.3141810069727571,0.0004091323252148,0.0123305810172851,0.5267208662683086
ridge,y_XLE,long_short,0.0,1.0,823,1.0,0.5103280680437424,0.0898683148143624,0.0002253415334185,0.0154923313757918,0.2309004279670103
ridge,y_XLE,long_flat,0.0005,1.0,823,0.5479951397326853,0.3256379100850546,0.2766013126528168,0.0003694397543195,0.0119522948388564,0.4906734953555482
ridge,y_XLE,long_short,0.0005,1.0,823,0.9817739975698664,0.5042527339003645,0.0877309064639539,0.0002182982976054,0.015177894106215,0.228317447618616
ridge,y_XLE,long_flat,0.001,1.0,823,0.5455650060753341,0.3256379100850546,0.303890717522536,0.0003949970968199,0.0119396044403798,0.5251752310539475
ridge,y_XLE,long_short,0.001,1.0,823,0.976913730255164,0.503037667071689,0.1150866871050639,0.0002483165355543,0.01516683439408,0.2599028046716365
ridge,y_XLE,long_flat,0.002,1.0,823,0.534629404617254,0.3219927095990279,0.3140293548574575,0.0004038138758965,0.0118897119207394,0.5391507037520442
ridge,y_XLE,long_short,0.002,1.0,823,0.9501822600243012,0.4945321992709599,0.1529647891917636,0.0002874183821916,0.0150682102601999,0.3027980954777186
ridge,y_XLE,long_flat,0.003,1.0,823,0.5236938031591738,0.3134872417982989,0.2339939269755948,0.0003268733421415,0.0118425745738179,0.4381609259704626
ridge,y_XLE,long_short,0.003,1.0,823,0.919805589307412,0.4775212636695018,0.0505616883260582,0.0001716788910269,0.014887008356491,0.1830668621148714
ridge,y_XLE,long_flat,0.005,1.0,823,0.4908869987849332,0.2940461725394896,-0.0054543082305908,5.53660664125946e-05,0.0109922916936258,0.0799568535201191
ridge,y_XLE,long_short,0.005,1.0,823,0.8541919805589308,0.4398541919805589,-0.1710089619162144,-0.0001269448095516,0.0141163329320857,-0.1427556566934975
ridge,y_XLF,long_flat,0.0,1.0,823,0.4775212636695018,0.2369380315917375,-0.1959121735662532,-0.0002170467792264,0.0097870711665055,-0.3520471799567261
ridge,y_XLF,long_short,0.0,1.0,823,1.0,0.4556500607533414,-0.5703637156230488,-0.0009514934884159,0.0122121683173515,-1.2368393944599454
ridge,y_XLF,long_flat,0.0005,1.0,823,0.4690157958687728,0.2332928311057108,-0.1926292910487229,-0.0002129409360448,0.009701016946955,-0.3484513616256147
ridge,y_XLF,long_short,0.0005,1.0,823,0.9854191980558932,0.4495747266099635,-0.5518860296276014,-0.000901676905237,0.0121060521533101,-1.1823571337590013
ridge,y_XLF,long_flat,0.001,1.0,823,0.4605103280680437,0.2272174969623329,-0.2110027656341716,-0.0002410658427988,0.0096843913207382,-0.3951514856316188
ridge,y_XLF,long_short,0.001,1.0,823,0.9623329283110572,0.4362089914945322,-0.5603513337280462,-0.0009253497513902,0.0120628884774018,-1.2177408367094178
ridge,y_XLF,long_flat,0.002,1.0,823,0.4483596597812879,0.2235722964763062,-0.2043202892415468,-0.0002312532468053,0.0096394722742169,-0.3808332428485312
ridge,y_XLF,long_short,0.002,1.0,823,0.9258809234507898,0.4191980558930741,-0.582431864217448,-0.0009902438941702,0.0118646122605321,-1.3249176747174063
ridge,y_XLF,long_flat,0.003,1.0,823,0.4216281895504252,0.2102065613608748,-0.2489431511250806,-0.0003022616520858,0.0095448519392012,-0.502706066506573
ridge,y_XLF,long_short,0.003,1.0,823,0.8736330498177399,0.3948967193195625,-0.5898977637535046,-0.0010137819997236,0.0117250309069955,-1.3725584569515137
ridge,y_XLF,long_flat,0.005,1.0,823,0.3839611178614824,0.1919805589307412,-0.3123564410569834,-0.0004138895047801,0.0090450445240495,-0.7263968885922604
ridge,y_XLF,long_short,0.005,1.0,823,0.7970838396111786,0.3657351154313487,-0.577922526060674,-0.0009854390738016,0.0111335285351401,-1.4050676099257364
ridge,y_XLI,long_flat,0.0,1.0,823,0.4835965978128797,0.2308626974483596,0.2021827788146133,0.0002628508830751,0.0089140580805349,0.4680952685483059
ridge,y_XLI,long_short,0.0,1.0,823,1.0,0.4507897934386391,-0.1272722370031325,-9.72474917117452e-05,0.0117537004174961,-0.1313421320375477
ridge,y_XLI,long_flat,0.0005,1.0,823,0.4738760631834751,0.2272174969623329,0.2108974071342795,0.0002708993621768,0.0088316002641061,0.486932597408569
ridge,y_XLI,long_short,0.0005,1.0,823,0.9793438639125152,0.4398541919805589,-0.1552867496136961,-0.0001384361478913,0.0116203246986542,-0.1891174107164137
ridge,y_XLI,long_flat,0.001,1.0,823,0.456865127582017,0.2162818955042527,0.0907643885644633,0.00013918104698,0.0082454819517055,0.2679565170451427
ridge,y_XLI,long_short,0.001,1.0,823,0.9562575941676792,0.425273390036452,-0.2353143153364387,-0.0002642108590917,0.0111703059429242,-0.3754791840498917
ridge,y_XLI,long_flat,0.002,1.0,823,0.4313487241798299,0.1992709599027946,-0.0704692294083649,-6.047878426272949e-05,0.0075401108361443,-0.1273284912372972
ridge,y_XLI,long_short,0.002,1.0,823,0.8991494532199271,0.3912515188335358,-0.407497489249975,-0.000583035655609,0.0102987442714965,-0.8986924869050512
