scope,model,target,strategy,cost_bps,best_by,best_threshold,metric_value,metric_at_threshold0
per_target,knn,y_XLU,long_flat,3.0,sharpe,0.0,0.894061606937403,0.894061606937403
per_target,knn,y_XLU,long_short,3.0,cum_return,0.0,-0.0375274914003871,-0.0375274914003871
per_target,knn,y_XLU,long_short,3.0,sharpe,0.0,0.0098786152098328,0.0098786152098328
per_target,knn,y_XLV,long_flat,3.0,cum_return,0.0005,0.0805319113173121,0.0307146017314514
per_target,knn,y_XLV,long_flat,3.0,sharpe,0.005,1.5412414435762556,0.1749940775193598
per_target,knn,y_XLV,long_short,3.0,cum_return,0.0,0.1493395799026105,0.1493395799026105
per_target,knn,y_XLV,long_short,3.0,sharpe,0.005,0.5322188647118509,0.3406262910730381
per_target,knn,y_XLY,long_flat,3.0,cum_return,0.005,-0.0487226940861078,-0.1813595568472024
per_target,knn,y_XLY,long_flat,3.0,sharpe,0.002,-0.2607281269098003,-0.4863821996568637
per_target,knn,y_XLY,long_short,3.0,cum_return,0.005,-0.2091072390251758,-0.5659530461389365
per_target,knn,y_XLY,long_short,3.0,sharpe,0.002,-0.4218024875083053,-0.9686056105611002
per_target,mlp,y_BTC-USD,long_flat,3.0,cum_return,0.003,1.252475370847495,0.7392414128526228
per_target,mlp,y_BTC-USD,long_flat,3.0,sharpe,0.003,0.6772340258186574,0.4853367286677962
per_target,mlp,y_BTC-USD,long_short,3.0,cum_return,0.005,0.4582525096969136,-0.3188298799233111
per_target,mlp,y_BTC-USD,long_short,3.0,sharpe,0.005,0.355757067853396,0.0203866870799489
per_target,mlp,y_GLD,long_flat,3.0,cum_return,0.0,0.5824901353222192,0.5824901353222192
per_target,mlp,y_GLD,long_flat,3.0,sharpe,0.0,1.1451689184489606,1.1451689184489606
per_target,mlp,y_GLD,long_short,3.0,cum_return,0.005,-0.1618770133567374,-0.1930789990753857
per_target,mlp,y_GLD,long_short,3.0,sharpe,0.005,-0.2170546723179397,-0.2203437825270828
per_target,mlp,y_TLT,long_flat,3.0,cum_return,0.003,-0.0258108401621932,-0.0854818891036068
per_target,mlp,y_TLT,long_flat,3.0,sharpe,0.003,-0.0601403468556181,-0.2810315279711986
per_target,mlp,y_TLT,long_short,3.0,cum_return,0.0,-0.0262800318158511,-0.0262800318158511
per_target,mlp,y_TLT,long_short,3.0,sharpe,0.0,-0.0089779569555346,-0.0089779569555346
per_target,mlp,y_UUP,long_flat,3.0,cum_return,0.002,0.0020902653445837,-0.0001616352494409
per_target,mlp,y_UUP,long_flat,3.0,sharpe,0.002,0.0375417627059419,0.0243404268103386
per_target,mlp,y_UUP,long_short,3.0,cum_return,0.0,-0.1070056556218054,-0.1070056556218054
per_target,mlp,y_UUP,long_short,3.0,sharpe,0.0,-0.4413644370115518,-0.4413644370115518
per_target,mlp,y_XLB,long_flat,3.0,cum_return,0.0,-0.0887393416279647,-0.0887393416279647
per_target,mlp,y_XLB,long_flat,3.0,sharpe,0.0,-0.1557402131999357,-0.1557402131999357
per_target,mlp,y_XLB,long_short,3.0,cum_return,0.003,-0.1102104759900329,-0.2045283772927202
per_target,mlp,y_XLB,long_short,3.0,sharpe,0.003,-0.1156461342444352,-0.2600150416957529
per_target,mlp,y_XLC,long_flat,3.0,cum_return,0.0,-0.064017458184627,-0.064017458184627
per_target,mlp,y_XLC,long_flat,3.0,sharpe,0.0,-0.107764777664719,-0.107764777664719
per_target,mlp,y_XLC,long_short,3.0,cum_return,0.005,-0.370254497812611,-0.4571878792943139
per_target,mlp,y_XLC,long_short,3.0,sharpe,0.005,-0.8205681811286308,-0.9468010186706782
per_target,mlp,y_XLE,long_flat,3.0,cum_return,0.001,0.3780828208122955,0.3511223317139993
per_target,mlp,y_XLE,long_flat,3.0,sharpe,0.001,0.654956540613622,0.6153729174575692
per_target,mlp,y_XLE,long_short,3.0,cum_return,0.003,0.2473576721242765,0.1228881421553678
per_target,mlp,y_XLE,long_short,3.0,sharpe,0.003,0.4024023898361704,0.2669276786424586
